LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,7,20,3.67,4.2,5.97,3.2,9.65,7.41,7.56,4.92,,,,,,
-37.81599,144.98461,2020,7,21,2.02,1.6,3.7,2.16,5.73,3.76,4.65,2.98,,,,,,
-37.81599,144.98461,2020,7,22,1.51,1.92,3.81,2.46,5.32,4.37,4.6,3.04,,,,,,
-37.81599,144.98461,2020,7,23,3.42,2.19,0.79,0.51,4.21,2.69,2.63,1.83,,,,,,
-37.81599,144.98461,2020,7,24,3.01,2.36,2.94,1.96,5.95,4.32,4.72,3.25,,,,,,
-37.81599,144.98461,2020,7,25,3.81,2.07,0.98,0.82,4.79,2.88,3.27,2.2,,,,,,
-37.81599,144.98461,2020,7,26,3.06,1.56,1.45,1.29,4.51,2.85,3.19,2.26,,,,,,
-37.81599,144.98461,2020,7,27,5.72,5.36,4.87,2.93,10.59,8.3,8.46,6.16,,,,,,
-37.81599,144.98461,2020,7,28,4.81,3.61,3.17,2.08,7.98,5.69,5.94,4.07,,,,,,
-37.81599,144.98461,2020,7,29,5.5,2.8,0.88,0.67,6.38,3.47,3.61,2.41,,,,,,
-37.81599,144.98461,2020,7,30,5.19,2.89,1.29,0.84,6.47,3.74,4.24,2.76,,,,,,
-37.81599,144.98461,2020,7,31,6.46,3.7,0.21,0.06,6.67,3.76,3.49,2.28,,,,,,
-37.81599,144.98461,2020,8,1,2.7,3.49,6.56,3.81,9.25,7.3,8.16,5.5,,,,,,
-37.81599,144.98461,2020,8,2,4.99,3.71,3.52,2,8.51,5.71,6.1,4.05,,,,,,
-37.81599,144.98461,2020,8,3,2.51,2.6,4.15,2.67,6.66,5.26,5.57,3.61,,,,,,
-37.81599,144.98461,2020,8,4,4.23,4.5,6.67,3.99,10.89,8.49,8.37,5.86,,,,,,
-37.81599,144.98461,2020,8,5,3.5,3.62,6.43,3.5,9.93,7.12,8.1,5.6,,,,,,
-37.81599,144.98461,2020,8,6,1.76,1.77,4.49,3.15,6.25,4.92,5.66,3.68,,,,,,
-37.81599,144.98461,2020,8,7,5.61,3.84,4.37,2.96,9.98,6.79,7.69,5.4,,,,,,
-37.81599,144.98461,2020,8,8,3.3,2.54,5.7,3.63,9,6.17,6.98,4.78,,,,,,
